"cfop";"ncm";"natureza_frete";"y"
"1933";"00000000-000";vazio;"Tributado"
"1933";"00000000-000";vazio;"Tributado"
"2101";"21069090-000";vazio;"Tributado"
"2101";"21069090-000";vazio;"Tributado"
"2101";"21069090-000";vazio;"Tributado"
"2556";"40069000-000";vazio;"Tributado"
"2556";"40103900-000";vazio;"Tributado"
"2556";"84349000-000";vazio;"Tributado"
"2556";"39269090-000";vazio;"Tributado"
"2556";"84229090-000";vazio;"Tributado"
"2556";"40070011-000";vazio;"Tributado"
"2101";"21069090-000";vazio;"Tributado"
"2101";"21069090-000";vazio;"Tributado"
"2101";"21069090-000";vazio;"Tributado"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
"1101";"04012090-000";vazio;"Art. 8° da Lei 10.925/2004 - Crédito Presumido 20% Capítulo 4 - Lácteos"
