"cnpj";"cfop";"ncm";"natureza_frete";"y"
14;"1933";"00000000-000";"0";"tributado"
14;"1933";"00000000-000";"0";"tributado"
14;"2101";"21069090-000";"0";"tributado"
14;"2101";"21069090-000";"0";"tributado"
14;"2101";"21069090-000";"0";"tributado"
14;"2556";"40069000-000";"0";"tributado"
14;"2556";"40103900-000";"0";"tributado"
14;"2556";"84349000-000";"0";"tributado"
14;"2556";"39269090-000";"0";"tributado"
14;"2556";"84229090-000";"0";"tributado"
14;"2556";"40070011-000";"0";"tributado"
14;"2101";"21069090-000";"0";"tributado"
14;"2101";"21069090-000";"0";"tributado"
14;"2101";"21069090-000";"0";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"2352";"00000000-000";"0";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"2352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
