"char_length";"cfop";"ncm";"coalesce";"y"
11;"5102";"12099100-000";"0";"aliquota zero"
14;"2102";"12099100-000";"0";"aliquota zero"
14;"1353";"00000000-000";"2";"tributado"
14;"1353";"00000000-000";"2";"tributado"
14;"1353";"00000000-000";"2";"tributado"
11;"1202";"30049099-000";"0";"monofasico revenda de produtos"
11;"5102";"27101932-000";"0";"tributado"
11;"5102";"27101932-000";"0";"tributado"
11;"5102";"27101932-000";"0";"tributado"
11;"5102";"27101932-000";"0";"tributado"
11;"5102";"27101932-000";"0";"tributado"
14;"1102";"64022000-000";"0";"tributado"
14;"1102";"64022000-000";"0";"tributado"
14;"1102";"64022000-000";"0";"tributado"
14;"1102";"64022000-000";"0";"tributado"
14;"1102";"64022000-000";"0";"tributado"
14;"1102";"64022000-000";"0";"tributado"
14;"1102";"34012090-000";"0";"tributado"
14;"1102";"38089199-000";"0";"aliquota zero"
14;"1102";"30049079-000";"0";"monofasico revenda de produtos"
14;"1102";"30049072-000";"0";"monofasico revenda de produtos"
14;"1202";"04012090-000";"0";"suspensao"
14;"1202";"04012090-000";"0";"suspensao"
14;"1202";"04012090-000";"0";"suspensao"
14;"1202";"04012090-000";"0";"suspensao"
14;"1202";"04012090-000";"0";"suspensao"
14;"1202";"04012090-000";"0";"suspensao"
14;"1202";"04012090-000";"0";"suspensao"
14;"2403";"68118200-000";"0";"tributado"
14;"2403";"68118200-000";"0";"tributado"
14;"1253";"27160000-000";"0";"tributado"
14;"1102";"23023010-000";"0";"tributado"
14;"1403";"39172300-000";"0";"tributado"
14;"1403";"39172300-000";"0";"tributado"
14;"1403";"39172300-000";"0";"tributado"
14;"1403";"39172300-000";"0";"tributado"
14;"1403";"39172300-000";"0";"tributado"
14;"1403";"39172300-000";"0";"tributado"
14;"2403";"66019900-000";"0";"tributado"
14;"1102";"30049099-000";"0";"monofasico revenda de produtos"
14;"1102";"30049099-000";"0";"monofasico revenda de produtos"
14;"2102";"25181000-000";"0";"aliquota zero"
14;"2102";"25181000-000";"0";"aliquota zero"
14;"2102";"25181000-000";"0";"aliquota zero"
14;"2102";"25181000-000";"0";"aliquota zero"
14;"2102";"25181000-000";"0";"aliquota zero"
14;"2102";"25181000-000";"0";"aliquota zero"
14;"2102";"25181000-000";"0";"aliquota zero"
14;"2102";"25181000-000";"0";"aliquota zero"
14;"2102";"25181000-000";"0";"aliquota zero"
14;"2102";"23099010-000";"0";"tributado"
14;"2102";"23099010-000";"0";"tributado"
14;"2102";"23099010-000";"0";"suspensao"
14;"2102";"23099010-000";"0";"tributado"
14;"2102";"23099010-000";"0";"tributado"
14;"1102";"73170090-000";"0";"tributado"
14;"1102";"23091000-000";"0";"tributado"
14;"1102";"56075090-000";"0";"tributado"
14;"1102";"39259010-000";"0";"tributado"
14;"1102";"23099090-000";"0";"tributado"
14;"1102";"82159910-000";"0";"tributado"
14;"1102";"56074900-000";"0";"tributado"
14;"1102";"56074900-000";"0";"tributado"
14;"1102";"82159910-000";"0";"tributado"
14;"1102";"12040090-000";"0";"tributado"
14;"2102";"23099010-000";"0";"tributado"
14;"1403";"32081010-000";"0";"tributado"
14;"2102";"23099010-000";"0";"tributado"
