"cnpj";"cfop";"ncm";"natureza_frete";"y"
11;"1102";"01022190-000";"0";"sem direito"
11;"1102";"01031000-000";"0";"sem direito"
11;"1102";"01039100-000";"0";"sem direito"
11;"1102";"01039200-000";"0";"sem direito"
11;"1102";"01041090-000";"0";"sem direito"
11;"1102";"01059400-000";"0";"sem direito"
11;"1102";"02031900-000";"0";"sem direito"
11;"1102";"02071400-000";"0";"sem direito"
11;"1102";"04012090-000";"0";"sem direito"
11;"1102";"04072100-000";"0";"sem direito"
11;"1102";"05119920-000";"0";"sem direito"
11;"1102";"06029089-000";"0";"sem direito"
11;"1102";"06029090-000";"0";"sem direito"
11;"1102";"07019000-000";"0";"sem direito"
11;"1102";"07020000-000";"0";"sem direito"
11;"1102";"07031019-000";"0";"sem direito"
11;"1102";"07032090-000";"0";"sem direito"
11;"1102";"07041000-000";"0";"sem direito"
11;"1102";"07049000-000";"0";"sem direito"
11;"1102";"07051100-000";"0";"sem direito"
11;"1102";"07051900-000";"0";"sem direito"
11;"1102";"07052100-000";"0";"sem direito"
11;"1102";"07052900-000";"0";"sem direito"
11;"1102";"07061000-000";"0";"sem direito"
11;"1102";"07069000-000";"0";"sem direito"
11;"1102";"07070000-000";"0";"sem direito"
11;"1102";"07089000-000";"0";"sem direito"
11;"1102";"07093000-000";"0";"sem direito"
11;"1102";"07096000-000";"0";"sem direito"
11;"1102";"07097000-000";"0";"sem direito"
11;"1102";"07099919-000";"0";"sem direito"
11;"1102";"07099990-000";"0";"sem direito"
11;"1102";"07104000-000";"0";"sem direito"
11;"1102";"07133319-000";"0";"sem direito"
11;"1102";"07133329-000";"0";"sem direito"
11;"1102";"07141000-000";"0";"sem direito"
11;"1102";"07142000-000";"0";"sem direito"
11;"1102";"08023100-000";"0";"sem direito"
11;"1102";"08039000-000";"0";"sem direito"
11;"1102";"08042010-000";"0";"sem direito"
11;"1102";"08043000-000";"0";"sem direito"
11;"1102";"08044000-000";"0";"sem direito"
11;"1102";"08045020-000";"0";"sem direito"
11;"1102";"08051000-000";"0";"sem direito"
11;"1102";"08052000-000";"0";"sem direito"
11;"1102";"08055000-000";"0";"sem direito"
11;"1102";"08061000-000";"0";"sem direito"
11;"1102";"08071100-000";"0";"sem direito"
11;"1102";"08071900-000";"0";"sem direito"
11;"1102";"08072000-000";"0";"sem direito"
11;"1102";"08081000-000";"0";"sem direito"
11;"1102";"08083000-000";"0";"sem direito"
11;"1102";"08093010-000";"0";"sem direito"
11;"1102";"08093020-000";"0";"sem direito"
11;"1102";"08094000-000";"0";"sem direito"
11;"1102";"08101000-000";"0";"sem direito"
11;"1102";"08102000-000";"0";"sem direito"
11;"1102";"08105000-000";"0";"sem direito"
11;"1102";"08107000-000";"0";"sem direito"
11;"1102";"08109000-000";"0";"sem direito"
11;"1102";"09101100-000";"0";"sem direito"
11;"1102";"10011900-000";"0";"sem direito"
11;"1102";"10059010-000";"0";"sem direito"
11;"1102";"12019000-000";"0";"sem direito"
11;"1102";"12079990-000";"0";"sem direito"
11;"1102";"12149000-000";"0";"sem direito"
11;"1102";"15071000-000";"0";"sem direito"
11;"1102";"20081900-000";"0";"sem direito"
11;"1102";"21069090-000";"0";"sem direito"
11;"1102";"23099010-000";"0";"sem direito"
11;"1102";"30023090-000";"0";"sem direito"
11;"1102";"30041019-000";"0";"sem direito"
11;"1102";"30049099-000";"0";"sem direito"
11;"1102";"39232190-000";"0";"sem direito"
11;"1102";"44011000-000";"0";"sem direito"
11;"1102";"44013900-000";"0";"sem direito"
11;"1102";"44190000-000";"0";"sem direito"
11;"1102";"46029000-000";"0";"sem direito"
11;"1102";"65040010-000";"0";"sem direito"
11;"1102";"73130000-000";"0";"sem direito"
11;"1202";"02012090-000";"0";"aliquota zero"
11;"1202";"02013000-000";"0";"aliquota zero"
11;"1202";"02031900-000";"0";"aliquota zero"
11;"1202";"02032900-000";"0";"aliquota zero"
11;"1202";"02042200-000";"0";"aliquota zero"
11;"1202";"02044200-000";"0";"aliquota zero"
11;"1202";"02062990-000";"0";"aliquota zero"
11;"1202";"02063000-000";"0";"aliquota zero"
11;"1202";"02071200-000";"0";"aliquota zero"
11;"1202";"02071400-000";"0";"aliquota zero"
11;"1202";"02101100-000";"0";"aliquota zero"
11;"1202";"02101200-000";"0";"aliquota zero"
11;"1202";"02101900-000";"0";"aliquota zero"
11;"1202";"03031100-000";"0";"aliquota zero"
11;"1202";"03046100-000";"0";"aliquota zero"
11;"1202";"04011010-000";"0";"aliquota zero"
11;"1202";"04012010-000";"0";"aliquota zero"
11;"1202";"04029900-000";"0";"aliquota zero"
11;"1202";"04031000-000";"0";"aliquota zero"
11;"1202";"04039000-000";"0";"aliquota zero"
11;"1202";"04061010-000";"0";"aliquota zero"
11;"1202";"04061090-000";"0";"aliquota zero"
11;"1202";"04062000-000";"0";"aliquota zero"
11;"1202";"04064000-000";"0";"aliquota zero"
11;"1202";"04069010-000";"0";"aliquota zero"
11;"1202";"04069020-000";"0";"aliquota zero"
11;"1202";"04069090-000";"0";"aliquota zero"
11;"1202";"04072100-000";"0";"aliquota zero"
11;"1202";"04072900-000";"0";"aliquota zero"
11;"1202";"05040011-000";"0";"tributado"
11;"1202";"05119920-000";"0";"aliquota zero"
11;"1202";"06029029-000";"0";"aliquota zero"
11;"1202";"06029089-000";"0";"aliquota zero"
11;"1202";"06029090-000";"0";"aliquota zero"
11;"1202";"07011000-000";"0";"aliquota zero"
11;"1202";"07019000-000";"0";"aliquota zero"
11;"1202";"07020000-000";"0";"aliquota zero"
11;"1202";"07031019-000";"0";"aliquota zero"
11;"1202";"07032090-000";"0";"aliquota zero"
11;"1202";"07041000-000";"0";"aliquota zero"
11;"1202";"07049000-000";"0";"aliquota zero"
11;"1202";"07051900-000";"0";"aliquota zero"
11;"1202";"07061000-000";"0";"aliquota zero"
11;"1202";"07069000-000";"0";"aliquota zero"
11;"1202";"07089000-000";"0";"aliquota zero"
11;"1202";"07093000-000";"0";"aliquota zero"
11;"1202";"07096000-000";"0";"aliquota zero"
11;"1202";"07099919-000";"0";"aliquota zero"
11;"1202";"07099990-000";"0";"aliquota zero"
11;"1202";"07131090-000";"0";"aliquota zero"
11;"1202";"07133311-000";"0";"aliquota zero"
11;"1202";"07133319-000";"0";"aliquota zero"
11;"1202";"07133321-000";"0";"aliquota zero"
11;"1202";"07142000-000";"0";"aliquota zero"
11;"1202";"08011100-000";"0";"aliquota zero"
11;"1202";"08023100-000";"0";"aliquota zero"
11;"1202";"08039000-000";"0";"aliquota zero"
11;"1202";"08043000-000";"0";"aliquota zero"
11;"1202";"08044000-000";"0";"aliquota zero"
11;"1202";"08045020-000";"0";"aliquota zero"
11;"1202";"08051000-000";"0";"aliquota zero"
11;"1202";"08052000-000";"0";"aliquota zero"
11;"1202";"08061000-000";"0";"aliquota zero"
11;"1202";"08071100-000";"0";"aliquota zero"
11;"1202";"08071900-000";"0";"aliquota zero"
11;"1202";"08072000-000";"0";"aliquota zero"
11;"1202";"08081000-000";"0";"aliquota zero"
11;"1202";"08093010-000";"0";"aliquota zero"
11;"1202";"08093020-000";"0";"aliquota zero"
11;"1202";"08094000-000";"0";"aliquota zero"
11;"1202";"08105000-000";"0";"aliquota zero"
11;"1202";"08132010-000";"0";"aliquota zero"
11;"1202";"08132020-000";"0";"aliquota zero"
11;"1202";"09021000-000";"0";"tributado"
11;"1202";"09062000-000";"0";"tributado"
11;"1202";"09072000-000";"0";"tributado"
11;"1202";"09081200-000";"0";"tributado"
11;"1202";"09096110-000";"0";"tributado"
11;"1202";"09101100-000";"0";"tributado"
11;"1202";"09109900-000";"0";"tributado"
11;"1202";"10011900-000";"0";"aliquota zero"
11;"1202";"10019100-000";"0";"aliquota zero"
11;"1202";"10041000-000";"0";"aliquota zero"
11;"1202";"10051000-000";"0";"aliquota zero"
11;"1202";"10059010-000";"0";"tributado"
11;"1202";"10062010-000";"0";"aliquota zero"
11;"1202";"10063019-000";"0";"aliquota zero"
11;"1202";"10063021-000";"0";"aliquota zero"
11;"1202";"10071000-000";"0";"aliquota zero"
11;"1202";"10083090-000";"0";"tributado"
11;"1202";"10089010-000";"0";"aliquota zero"
11;"1202";"11010010-000";"0";"aliquota zero"
11;"1202";"11022000-000";"0";"aliquota zero"
11;"1202";"11029000-000";"0";"tributado"
11;"1202";"11041200-000";"0";"tributado"
11;"1202";"11042300-000";"0";"tributado"
11;"1202";"11043000-000";"0";"tributado"
11;"1202";"11062000-000";"0";"aliquota zero"
11;"1202";"11063000-000";"0";"tributado"
11;"1202";"11081200-000";"0";"tributado"
11;"1202";"11081400-000";"0";"tributado"
11;"1202";"12011000-000";"0";"suspensao"
11;"1202";"12040090-000";"0";"tributado"
11;"1202";"12051010-000";"0";"aliquota zero"
11;"1202";"12074090-000";"0";"tributado"
11;"1202";"12079910-000";"0";"aliquota zero"
11;"1202";"12079990-000";"0";"tributado"
11;"1202";"12089000-000";"0";"tributado"
11;"1202";"12092300-000";"0";"aliquota zero"
11;"1202";"12092500-000";"0";"aliquota zero"
11;"1202";"12092900-000";"0";"aliquota zero"
11;"1202";"12099100-000";"0";"aliquota zero"
11;"1202";"12130000-000";"0";"tributado"
11;"1202";"12149000-000";"0";"tributado"
11;"1202";"15011000-000";"0";"tributado"
11;"1202";"15021019-000";"0";"aliquota zero"
11;"1202";"15121920-000";"0";"aliquota zero"
11;"1202";"15159090-000";"0";"tributado"
11;"1202";"16024900-000";"0";"tributado"
11;"1202";"17019100-000";"0";"tributado"
11;"1202";"17019900-000";"0";"aliquota zero"
11;"1202";"17049020-000";"0";"tributado"
11;"1202";"17049090-000";"0";"tributado"
11;"1202";"18063220-000";"0";"tributado"
11;"1202";"18069000-000";"0";"tributado"
11;"1202";"19012000-000";"0";"tributado"
11;"1202";"19019020-000";"0";"tributado"
11;"1202";"19019090-000";"0";"tributado"
11;"1202";"19030000-000";"0";"tributado"
11;"1202";"19041000-000";"0";"tributado"
11;"1202";"19049000-000";"0";"tributado"
11;"1202";"19053100-000";"0";"tributado"
11;"1202";"19059020-000";"0";"tributado"
11;"1202";"19059090-000";"0";"tributado"
11;"1202";"20081100-000";"0";"tributado"
11;"1202";"21021090-000";"0";"tributado"
11;"1202";"21022000-000";"0";"tributado"
11;"1202";"21023000-000";"0";"tributado"
11;"1202";"21039021-000";"0";"tributado"
11;"1202";"21061000-000";"0";"tributado"
11;"1202";"21069010-000";"0";"aliquota zero"
