"cnpj";"coalesce";"coalesce";"coalesce";"y"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"1352";"00000000-000";"2";"tributado"
14;"5102";"04012090-000";"0";"suspensao"
14;"5102";"04012090-000";"0";"suspensao"
14;"0";"0";"0";"tributado"
14;"1556";"84329000";"0";"sem direito"
14;"1556";"40111000";"0";"sem direito"
14;"1556";"40111000";"0";"sem direito"
14;"1556";"16010000";"0";"sem direito"
14;"1556";"76071190";"0";"sem direito"
14;"1556";"20011000";"0";"sem direito"
14;"1556";"96039000";"0";"sem direito"
14;"1407";"87089990";"0";"sem direito"
14;"1556";"96039000";"0";"sem direito"
14;"1556";"68053090";"0";"sem direito"
14;"1556";"84219999";"0";"sem direito"
14;"1556";"82079000";"0";"sem direito"
14;"1556";"53051900";"0";"sem direito"
14;"1556";"62059090";"0";"sem direito"
14;"1556";"19021900";"0";"sem direito"
14;"1556";"20058000";"0";"sem direito"
14;"1556";"85159000";"0";"sem direito"
14;"1556";"69041000";"0";"sem direito"
14;"1556";"69041000";"0";"sem direito"
14;"1556";"84243090";"0";"sem direito"
14;"1556";"85393100";"0";"sem direito"
14;"1556";"39174090";"0";"sem direito"
14;"1556";"39172300";"0";"sem direito"
14;"1556";"39172300";"0";"sem direito"
14;"1556";"39269090";"0";"sem direito"
14;"1556";"85389090";"0";"sem direito"
14;"1556";"73071990";"0";"sem direito"
14;"1556";"73071990";"0";"sem direito"
14;"1556";"73071910";"0";"sem direito"
14;"1556";"82075011";"0";"sem direito"
14;"1556";"82055900";"0";"sem direito"
14;"1556";"39174090";"0";"sem direito"
14;"1556";"39174090";"0";"sem direito"
14;"1556";"39174090";"0";"sem direito"
14;"1556";"39174090";"0";"sem direito"
14;"1556";"39172300";"0";"sem direito"
14;"1556";"39174090";"0";"sem direito"
14;"1556";"39174090";"0";"sem direito"
14;"1556";"39174090";"0";"sem direito"
14;"1556";"39174090";"0";"sem direito"
14;"1556";"73071910";"0";"sem direito"
14;"1556";"39174090";"0";"sem direito"
14;"1556";"54026904";"0";"sem direito"
14;"1556";"54026904";"0";"sem direito"
14;"1556";"82119390";"0";"sem direito"
14;"1556";"84818099";"0";"sem direito"
14;"1556";"68042119";"0";"sem direito"
14;"1556";"73071920";"0";"sem direito"
14;"1556";"74122000";"0";"sem direito"
14;"1556";"35069110";"0";"sem direito"
14;"1556";"82054000";"0";"sem direito"
14;"1556";"82054000";"0";"sem direito"
14;"1556";"69089000";"0";"sem direito"
14;"1556";"69089000";"0";"sem direito"
14;"1556";"69089000";"0";"sem direito"
14;"1556";"39172300";"0";"sem direito"
14;"1556";"39174090";"0";"sem direito"
14;"1556";"83011000";"0";"sem direito"
14;"1556";"83011000";"0";"sem direito"
14;"1556";"73071910";"0";"sem direito"
14;"1556";"73071990";"0";"sem direito"
14;"0";"0";"0";"tributado"
14;"0";"0";"0";"tributado"
